#separator:tab
#html:true
#columns:Prompt	Target	Sense	Sample	Why	Tags
Describe where you are right now in two or three sentences. Include the building, the room, and one piece of furniture you can see. Use 'in', 'on', and 'at' at least once each.	in / on / at	spatial	I'm in my apartment in Berlin. I'm sitting on the sofa, and there's a coffee cup on the table next to me. The whole place is at the end of a quiet street.	'in my apartment' and 'in Berlin' use the CONTAINER schema (bounded enclosure / area). 'on the sofa' and 'on the table' use SUPPORT (gravity holds the figure to a surface). 'at the end of a quiet street' uses POINT (a specific location designated as a point on a longer line).	module:01 sense:spatial type:production frequency:high register:neutral cefr:a2 image-schema:container generalisable:yes
Tell a colleague exactly where to find the printer in your office. Use at least three prepositions of place from 'in', 'on', 'at', plus one of 'next to', 'behind', or 'between'.	in / on / at + neighbour prep	spatial	The printer is in the small room at the end of the hall. When you walk in, it's on the table, next to the recycling bin.	'in the small room' (CONTAINER), 'at the end of the hall' (POINT on a line), 'on the table' (SUPPORT), 'next to the recycling bin' (proximate adjacency). The four prepositions narrow location from large to small in the canonical 'big to small' navigational order.	module:01 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes
Describe a typical day commuting to school or work. Use 'on' for at least one large vehicle and 'in' for at least one small vehicle. Two or three sentences.	on (large vehicle) / in (small vehicle)	spatial	I usually walk to the bus stop and wait at the corner. Then I get on the number 6 bus, and after fifteen stops I get off. My partner, in contrast, drives in his car the whole way.	'at the corner' (POINT — bus stop as point landmark). 'on the number 6 bus' (SUPPORT-LARGE-TRANSPORT — you can stand and walk inside). 'in his car' (CONTAINER-SMALL-TRANSPORT — you sit, you don't walk around).	module:01 sense:spatial type:production frequency:high register:informal cefr:a2 image-schema:support generalisable:yes
Describe one painting or photograph hanging on a wall in your home (or one you remember). Where exactly is it? Two or three sentences using 'on', 'in', and 'above' or 'next to'.	on (vertical surface) + neighbour preps	spatial	There's a black-and-white photograph on the wall in our living room. It hangs above the fireplace, next to a small framed map.	'on the wall' (SUPPORT-VERTICAL — surface contact maintained against gravity), 'in our living room' (CONTAINER — bounded room), 'above the fireplace' (vertical higher-than relation), 'next to a small framed map' (lateral adjacency).	module:01 sense:spatial type:production frequency:mid register:neutral cefr:b1 image-schema:support generalisable:yes
You're meeting a friend in a city you both know. Send a short text (two sentences) telling them exactly where and when to meet. Use 'at' for the meeting point and 'on' for a street name.	at (point) + on (street)	spatial	Let's meet at the small café on Frith Street, right next to the bookshop. I'll be there at 7 p.m.	'at the small café' (POINT — venue as a single meeting point). 'on Frith Street' (SUPPORT-LINE-ROUTE — building sits along a linear feature). 'at 7 p.m.' uses 'at' for clock time (POINT-TIME, included as a bonus).	module:01 sense:spatial type:production frequency:high register:informal cefr:a2 image-schema:point generalisable:yes
Describe one item that is currently on your desk and one item that is in a drawer of your desk. Two sentences. Make the difference between SUPPORT and CONTAINER explicit.	on (SUPPORT) vs in (CONTAINER)	spatial	On my desk there's an open notebook with a pencil resting across it. In the top drawer, there are three rolls of tape and a small pair of scissors.	'On my desk' (SUPPORT — items rest on a horizontal surface against gravity). 'In the top drawer' (CONTAINER — items are bounded on all sides when the drawer is shut). The contrast directly tests the support/container distinction that learners across all L1s confuse.	module:01 sense:spatial type:production frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes
Tell a story (three sentences) about a time you waited for someone or something. Use 'at' once for a meeting point and 'in' once for a place you waited inside.	at (waiting point) / in (waiting interior)	spatial	I was supposed to meet my brother at the airport at four in the afternoon. His flight was delayed, so I waited in a little café in the arrivals hall. He finally appeared at the gate two hours late.	'at the airport' (POINT — large transit venue treated as a point), 'in a little café' (CONTAINER — interior of a small venue), 'in the arrivals hall' (CONTAINER — bounded interior region), 'at the gate' (POINT — specific point within the larger venue). The shifts between point and container framing track the storyteller's moving spatial focus.	module:01 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes
Describe a small object — a coin, a key, a piece of jewellery — and three different places it could plausibly be. Use a different preposition each time: 'in', 'on', and 'at'.	in / on / at (same figure, three landmarks)	spatial	A small silver key could be in my coat pocket, on the hallway table, or hanging at the side of the front door on a hook.	'in my coat pocket' (CONTAINER — fully enclosed by fabric), 'on the hallway table' (SUPPORT — surface contact against gravity), 'at the side of the front door' (POINT — designated location at a specific point of a larger object). One figure, three image schemas — the canonical exercise for fixing the in/on/at trio.	module:01 sense:spatial type:production frequency:mid register:neutral cefr:b1 image-schema:container generalisable:yes
Describe your weekly routine in three sentences. Use 'on' for at least one day, 'in' for at least one part of the day, and 'at' for at least one clock time.	on / in / at (time)	temporal	On Mondays I work from home. I usually start in the morning at around 8 a.m., take a long break in the afternoon, and finish at 6 p.m.	'On Mondays' (recurring named day → 'on'). 'in the morning' / 'in the afternoon' (parts of the day → 'in the …'). 'at 8 a.m.' / 'at 6 p.m.' (clock times → 'at'). Three different temporal scales mapped to three different prepositions.	module:03 sense:temporal type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
Tell a colleague when you need their feedback. Use 'by' for the deadline AND 'until' for something that continues up to that point. Two sentences.	by (deadline) vs until (continuous)	temporal	I need your written feedback by Wednesday at noon. Until then, I'll keep revising the draft based on what we discussed yesterday.	'by Wednesday at noon' marks Wednesday noon as the latest acceptable completion point (single deadline). 'until then' marks the continuous activity (revising) that runs up to that point. The contrast is the canonical by/until distinction.	module:03 sense:temporal type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:yes
Describe how long you've been doing one of your hobbies. Use both 'for' and 'since' in adjacent sentences. Two or three sentences.	for (duration) vs since (start point)	temporal	I've been playing the guitar for about ten years. I've actually owned my current instrument since my eighteenth birthday, so it's older than my interest in jazz.	'for about ten years' specifies the duration of an unfinished period. 'since my eighteenth birthday' specifies the starting point of a different unfinished period. Both ride on the present perfect ('have been playing' / 'have owned'), which is the canonical context for the for/since contrast.	module:03 sense:temporal type:production frequency:high register:informal cefr:b1 image-schema:none generalisable:yes
Tell a story (three sentences) about something that happened during a meeting, lecture, or trip. Use 'during' once and 'while' once, with the difference between preposition and conjunction visible.	during vs while	temporal	During the long flight to Tokyo, the man next to me decided to learn Japanese. While he was repeating phrases from a podcast, the cabin lights dimmed for the night and he fell asleep mid-sentence. By morning, he had forgotten almost everything.	'During the long flight' uses 'during' as a preposition + noun phrase. 'While he was repeating phrases' uses 'while' as a conjunction + clause (subject + verb). The structural contrast is the test, not the meaning — both refer to the same time window.	module:03 sense:temporal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
Describe what you did over the weekend in two sentences. Use 'on' for at least one named day and 'in' for at least one part of the day.	on (day) + in (part of day)	temporal	On Saturday morning I went for a long run in the park, and on Sunday I had brunch with friends. In the evening I watched two documentaries back to back and went to bed early.	'On Saturday morning' (named day → 'on') and 'on Sunday' (named day → 'on'). 'in the park' is spatial (CONTAINER schema), included as a deliberate distractor that the learner should not switch to 'on'. 'In the evening' (part of the day → 'in the …'). The Saturday/Sunday named-day contrast is the classic L1-Spanish/Russian/Mandarin error site.	module:03 sense:temporal type:production frequency:high register:informal cefr:a2 image-schema:none generalisable:yes
Tell a friend what time something starts or arrives. Use 'in' meaning 'from now' for one event, and 'at' for the absolute clock time of another. Two sentences.	in (from now) vs at (clock time)	temporal	The first speaker starts in twenty minutes — let's grab a coffee before then. The keynote is at 11 a.m., so we have a little buffer.	'in twenty minutes' anchors a future moment relative to NOW (twenty minutes from this point). 'at 11 a.m.' anchors an event at a single absolute clock time. Both are temporal-point uses but with different anchors (relative vs absolute), and that's the cognitive distinction this card trains.	module:03 sense:temporal type:production frequency:high register:informal cefr:a2 image-schema:none generalisable:yes
Describe your typical schedule for a regular weekday. Use 'every' or 'each' with no preposition for one habitual time-phrase, and 'on' for one specific day. Two or three sentences.	zero-preposition (every / each) + on (day)	temporal	Every weekday I wake up at six and go for a swim. On Wednesdays I have a longer training session, so I pack a bigger breakfast.	'Every weekday' takes NO preposition — this is the high-error 'zero preposition' pattern that L1-Spanish, L1-Russian and L1-Mandarin learners systematically over-generalise (saying *'in every weekday'). 'On Wednesdays' uses 'on' for a recurring named day. The contrast directly trains the zero-vs-prep distinction.	module:03 sense:temporal type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
Reply to a deadline request in two sentences. Use 'within' to commit to a span AND 'by' to commit to a single deadline.	within (span) vs by (single deadline)	temporal	I'll send you the first draft within 48 hours. The full report will be on your desk by Monday morning at the latest.	'within 48 hours' commits to any moment up to that span (a permitted window). 'by Monday morning' commits to a single deadline (no later than Monday morning). The two together model the formal-business pattern of granular commitments — span first, then a hard deadline.	module:03 sense:temporal type:production frequency:mid register:formal cefr:b2 image-schema:none generalisable:yes
Write a scene where someone is searching for lost items in a house. Describe where they find each one.	under / inside / on	spatial	The keys were <b>under</b> the sofa cushions. The phone was <b>inside</b> the kitchen drawer. Her glasses lay <b>on</b> the bedside table.	Items are physically confined or beneath objects; explains why one location is a container (inside) and others are directional (under, on)	module:02 sense:spatial type:production frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
Describe the layout of a town center with various shops and landmarks around you.	opposite / across / beside / beyond	spatial	The museum stands <b>opposite</b> the town hall <b>across</b> the plaza. The café is <b>beside</b> the bakery on Main Street. The park lies <b>beyond</b> the marketplace.	Spatial relationships arrange landmarks in a clear layout; opposite and across emphasize facing arrangements; beside shows linear adjacency	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes
Write about a nature walk through a forest where you encounter various animals and plants.	among / beneath / between / through	spatial	We walked <b>among</b> tall pine trees and <b>beneath</b> the forest canopy. A deer stood <b>between</b> two clearings. The stream flowed <b>through</b> the undergrowth.	Cluster: immersion in multiple trees; beneath: formal, atmospheric layer covering; between: positioned within two distinct zones	module:02 sense:spatial type:production frequency:mid register:formal cefr:b1 image-schema:cluster generalisable:yes
Imagine a wedding ceremony. Describe where guests and the wedding party are positioned.	in front of / beside / around / near	spatial	The bride stood <b>in front of</b> the altar. The groom waited <b>beside</b> her. Guests were seated <b>around</b> the hall, with the closest <b>near</b> the aisle.	In front of: facing direction of the altar; beside: lateral partnership; around: encircling arrangement; near: proximity-based seating	module:02 sense:spatial type:production frequency:high register:formal cefr:a2 image-schema:point generalisable:yes
Describe a parking lot. Where do various cars park relative to stores and structures?	against / outside / by / beside	spatial	Cars parked <b>against</b> the building's wall, <b>outside</b> the reserved spaces. A truck sat <b>by</b> the loading dock. Motorbikes lined up <b>beside</b> the entrance gate.	Against: surface contact under pressure; outside: external to marked zones; by: adjacency to functional landmark; beside: flank positioning	module:02 sense:spatial type:production frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
Write about a dinner table. Position each person and item on or around the table.	in the middle / between / beside / above	spatial	The centerpiece sat <b>in the middle</b> of the table, <b>between</b> each place setting. Bread plates were <b>beside</b> the napkins. Wine glasses stood <b>above</b> the knives.	Between: medial position dividing two settings; beside: flank positioning for paired items; above: vertical arrangement	module:02 sense:spatial type:production frequency:high register:formal cefr:a1 image-schema:between generalisable:yes
Describe an office building layout with multiple departments on different floors.	on the first floor / below / on the second floor / opposite / around / throughout	spatial	Finance is <b>on the first floor</b>, <b>below</b> Marketing <b>on the second floor</b>. HR is <b>opposite</b> the conference room. Cubicles are arranged <b>around</b> the central atrium <b>throughout</b> the main workspace.	Below: altitude hierarchy on vertical axis; opposite: facing arrangement across corridor; among + around: cluster and encirclement of work zones	module:02 sense:spatial type:production frequency:mid register:formal cefr:b1 image-schema:under generalisable:yes
Paint a picture of a bedroom. Where are furniture and personal items positioned?	against / beside / under / above / opposite	spatial	The bed is <b>against</b> the far wall. Nightstands sit <b>beside</b> it. Books are piled <b>under</b> the nightstand. A mirror hangs <b>above</b> the dresser, which is <b>opposite</b> the bed.	Against: wall-backed support; beside: lateral partnership; under: overhead coverage; above: vertical positioning; opposite: facing arrangement	module:02 sense:spatial type:production frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
Describe a public garden with pathways, benches, and plant beds.	among / beside / in the center / surrounded / near	spatial	Visitors walked <b>among</b> the flower beds <b>beside</b> winding pathways. A fountain stood <b>in the center</b>, <b>surrounded</b> by benches <b>near</b> the entrance.	Among: immersion in planted areas; beside: flank to pathways; in the center + surrounded: encirclement; near: proximity to entrance	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:cluster generalisable:yes
Write about a library. Position books, shelves, and readers in the space.	behind / between / at desks / around / beneath	spatial	Reference books sit <b>behind</b> the desk. Fiction is shelved <b>between</b> Science and History. Readers study <b>at desks</b> <b>around</b> the reading room, <b>beneath</b> the skylights.	Behind: rear-positioned reference; between: binary positioning of genres; around: encirclement of study spaces; beneath: atmospheric overhead element	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes
Describe a courtyard surrounded by buildings. Where are people and features?	in the center / among / beside / around / beneath	spatial	The fountain was positioned <b>in the center</b>, <b>among</b> the trees. Benches lined the pathways <b>beside</b> the buildings. Visitors gathered <b>around</b> the fountain, <b>beneath</b> the tall archways.	In the center + among: central immersion; beside: building-flank positioning; around: radial encirclement; beneath: architectural overhead	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:cluster generalisable:yes
Write about a sports stadium. Describe where fans, players, and facilities are located.	in the center / above / in the stands / around / below / inside	spatial	Players stood <b>in the center</b> of the field. Fans were seated <b>above</b> the field <b>in the stands</b>, <b>around</b> the oval. Concessions were <b>below</b>, <b>inside</b> the lower level.	In center: focal position; above + in stands: elevated seating; around: encirclement of field; below + inside: layered containment	module:02 sense:spatial type:production frequency:mid register:neutral cefr:a2 image-schema:none generalisable:yes
Describe a coastal town. Where are buildings, beaches, and natural features?	beside / near / by / opposite	spatial	The town sits <b>beside</b> the bay. Shops line the streets <b>near</b> the harbor. The lighthouse stands <b>by</b> the rocky shore. Boats are moored <b>opposite</b> the marina.	Beside: building-to-water adjacency; near: proximity to harbor; by: adjacency to natural feature; opposite: facing relationship	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes
Write about a kitchen. Position appliances, utensils, and people.	against / beside / under / opposite / between	spatial	The stove is <b>against</b> the back wall. Utensils hang <b>beside</b> it. Pots are stored <b>under</b> the counter. The sink is <b>opposite</b> the refrigerator, with the table <b>between</b> them.	Against: wall-backed placement; beside: lateral arrangement; under: overhead coverage; opposite: facing arrangement; between: medial positioning	module:02 sense:spatial type:production frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
Describe a train station. Where are platforms, shops, and waiting areas?	below / inside / among / around / near	spatial	Platforms extend <b>below</b> the main concourse. Shops cluster <b>inside</b> the station. Passengers wait <b>among</b> the benches, <b>around</b> the departure boards, and <b>near</b> the ticket counters.	Below: altitude of platforms; inside: enclosed retail; among: immersion in seating; around: encirclement of information; near: proximity to service	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:under generalisable:yes
Write about a museum exhibit. Describe the arrangement of artworks and visitors.	among / above / beside / opposite	spatial	Sculptures stand <b>among</b> the display cases. Paintings hang <b>above</b> benches, where visitors sit. Plaques are positioned <b>beside</b> each piece. The exit is <b>opposite</b> the entrance.	Among: distribution of sculptures; above: elevated artwork; beside: informational placement; opposite: circulation path	module:02 sense:spatial type:production frequency:mid register:formal cefr:b1 image-schema:cluster generalisable:yes
Describe a playground. Where are equipment, children, and safety features?	around / beside / near / under	spatial	Children play <b>around</b> the central play structure. Swings are positioned <b>beside</b> the slide. A sandbox sits <b>near</b> the entrance, <b>under</b> a shade canopy.	Around: encirclement of central equipment; beside: lateral arrangement of apparatus; near: proximity to access; under: overhead protection	module:02 sense:spatial type:production frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
Write about a hotel lobby. Position furniture, staff, and guests.	against / around / near / opposite	spatial	The reception desk sits <b>against</b> the far wall. Seating is arranged <b>around</b> a central coffee table. Guests wait <b>near</b> the elevators, <b>opposite</b> the entrance.	Against: wall-backed desk; around: encircled furniture arrangement; near: proximity to transport; opposite: facing entrance	module:02 sense:spatial type:production frequency:high register:formal cefr:a2 image-schema:support generalisable:yes
Describe a backyard garden. Position plants, pathways, and garden features.	beside / among / in the center / between / beneath	spatial	Rose bushes grow <b>beside</b> the fence. A vegetable patch sits <b>among</b> herb plants. The birdbath stands <b>in the center</b>, <b>between</b> shaded areas. Seating is placed <b>beneath</b> the pergola.	Beside: fence-flank positioning; among: plant-cluster immersion; in center + between: medial focal placement; beneath: overhead structure	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes
Write about a map or geographical chart showing relative positions of regions, countries, or cities.	between / across from / opposite / beside / below / above / in the north	spatial	France is <b>between</b> Spain and Germany, with the UK <b>across from</b> it <b>opposite</b> the English Channel. Switzerland sits <b>beside</b> France, <b>below</b> the Alpine peaks. Scandinavia lies <b>above</b> all of them <b>in the north</b>.	between = medial positioning of France; across from/opposite = separated by water; beside = lateral partnership; below = southern positioning; above = northern elevation	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes
Describe arranging furniture in a small apartment. Consider multiple rooms and spatial constraints.	against / opposite / beside / in front of / beneath / on	spatial	The sofa goes <b>against</b> the main wall <b>opposite</b> the window. The TV stand sits <b>beside</b> it. The bedroom door is <b>in front of</b> the bookshelf. The bed is <b>beneath</b> the skylight, with nightstands <b>on</b> either side.	against = wall-backed placement; opposite = facing arrangement; beside = lateral positioning; in front of = door-facing; beneath = overhead light; on = surface positioning	module:02 sense:spatial type:production frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
Write about an orchard or farm with trees, crops, and structures positioned in space.	among / in the center / beside / near / between / opposite	spatial	The apple trees grow <b>among</b> the peach trees <b>in the center</b>. The barn sits <b>beside</b> the main field, <b>near</b> the road. Irrigation ditches run <b>between</b> rows of crops. The fence surrounds the property, with the gate <b>opposite</b> the main house.	among = immersed in mixed plantings; in center = focal positioning; beside = building-to-field adjacency; near = road proximity; between = row-dividing; opposite = facing arrangement	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:cluster generalisable:yes
Describe a swimming pool complex with diving areas, shallow zones, and seating.	above / opposite / around / under / near / inside / beside	spatial	Diving platforms stand <b>above</b> the deep end, <b>opposite</b> the shallow children's area. Lounge chairs are arranged <b>around</b> the pool, <b>under</b> umbrellas <b>near</b> the changing rooms. The concession stand is <b>inside</b> the building, <b>beside</b> the entrance.	above = elevated platforms; opposite = facing shallow zone; around = perimeter seating; under = umbrella coverage; near = changing-room proximity; inside = building location; beside = entrance adjacency	module:02 sense:spatial type:production frequency:high register:neutral cefr:a2 image-schema:over generalisable:yes
Write about a zoo enclosure showing animal habitat zones and visitor paths.	inside / beneath / along / opposite / in the back / behind / among / next to	spatial	Lions rest <b>inside</b> a shaded cave <b>beneath</b> rocky outcrops. Visitors walk <b>along</b> viewing platforms <b>opposite</b> the habitat. Feeding areas sit <b>in the back</b>, <b>behind</b> the public viewing area. Water troughs are positioned <b>among</b> vegetation, <b>next to</b> resting zones.	inside = cave enclosure; beneath = rock coverage; along = platform progression; opposite = facing habitat; in back/behind = concealed feeding; among = distributed vegetation; next to = zone adjacency	module:02 sense:spatial type:production frequency:high register:neutral cefr:b1 image-schema:container generalisable:yes
Describe a classroom layout with desks, a teacher's station, storage, and learning zones.	in rows / in front of / beside / opposite / behind / in the corner / between / at the back	spatial	Student desks sit <b>in rows</b> <b>in front of</b> the whiteboard. The teacher's desk stands <b>beside</b> the board, <b>opposite</b> the students. Bookshelves line the wall <b>behind</b> the seating. Supply cabinets are positioned <b>in the corner</b>, <b>between</b> the reading nook and the main classroom. The door is <b>at the back</b>.	in front of = student-facing; beside = teacher-board adjacency; opposite = facing arrangement; behind = rear wall; in corner/between = storage positioning; at back = entrance location	module:02 sense:spatial type:production frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
Write a narrative about a morning commute. Describe the route, obstacles, and how movement happens.	to / through / across / at / up	movement	I walked <b>to</b> the train station, then traveled <b>through</b> the tunnel, <b>across</b> the bridge, and finally arrived <b>at</b> the office. The elevator carried me <b>up</b> to the fifth floor.	to = destination; through = interior passage; across = lateral spanning; at = arrival point; up = vertical ascent	module:04 sense:movement type:production frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes
Describe a hiking adventure through changing terrain. Include entries to and exits from different landscapes.	up / along / down / into / through / towards	movement	We climbed <b>up</b> the mountain, walked <b>along</b> the ridge, then descended <b>down</b> a steep path <b>into</b> the valley. A river flowed <b>through</b> the gorge <b>towards</b> the plains.	up = ascent; along = parallel linear motion; down = descent; into = boundary entry; through = interior transit; towards = convergent direction	module:04 sense:movement type:production frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
